Code,Name,Country,Exchange,Currency,Type,Isin
100H,"MULTI-UNITS LUXEMBOURG - Lyxor FTSE 100 UCITS ETF - Monthly Hedged to EUR - Acc",France,PA,EUR,ETF,LU1650492330
2CRSI,"2CRSI S.A",France,PA,EUR,"Common Stock",FR0013341781
500,"Amundi Index Solutions - Amundi S&P 500 UCITS ETF C EUR",France,PA,EUR,ETF,FR0010892224
500H,"Amundi Index Solutions - Amundi S&P 500 UCITS ETF C Hedged EUR",France,PA,EUR,ETF,FR0011133644
500U,"Amundi Index Solutions - Amundi S&P 500 UCITS ETF C USD",France,PA,USD,ETF,FR0010912576
50E,"HSBC EURO STOXX 50 UCITS ETF",France,PA,EUR,ETF,IE00B4K6B022
AASI,"Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C EUR",France,PA,EUR,ETF,FR0011020965
AASU,"Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C USD",France,PA,USD,ETF,LU1681044563
AB,"AB Science S.A",France,PA,EUR,"Common Stock",FR0010557264
ABCA,"ABC arbitrage SA",France,PA,EUR,"Common Stock",FR0004040608
ABEO,"Abéo SA",France,PA,EUR,"Common Stock",FR0013185857
ABIO,Albioma,France,PA,EUR,"Common Stock",FR0000060402
ABNX,"ABIONYX Pharma SA",France,PA,EUR,"Common Stock",FR0012616852
ABTC,"21Shares AG",France,PA,EUR,ETF,CH0454664001
ABVX,"ABIVAX Société Anonyme",France,PA,EUR,"Common Stock",FR0012333284
AC,"Accor SA",France,PA,EUR,"Common Stock",FR0000120404
ACA,"Crédit Agricole S.A",France,PA,EUR,"Common Stock",FR0000045072
ACAN,"Acanthe Développement",France,PA,EUR,"Common Stock",FR0000064602
ACWE,"SPDR MSCI ACWI UCITS ETF",France,PA,EUR,ETF,IE00B44Z5B48
ACWI,"Lyxor MSCI All Country World UCITS ETF Acc",France,PA,EUR,ETF,LU1829220216
ADOC,"Adocia SA",France,PA,EUR,"Common Stock",FR0011184241
ADP,"Aeroports de Paris SA",France,PA,EUR,"Common Stock",FR0010340141
ADUX,"AdUX SA",France,PA,EUR,"Common Stock",FR0012821890
ADV,"Advenis SA",France,PA,EUR,"Common Stock",FR0004152874
ADVI,"AdVini S.A",France,PA,EUR,"Common Stock",FR0000053043
ADVIC,"Advicenne S.A",France,PA,EUR,"Common Stock",FR0013296746
AEEM,"Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C EUR",France,PA,EUR,ETF,LU1681045370
AEJ,"Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF - Acc-EUR",France,PA,EUR,ETF,LU1900068328
AETH,"Amun Coin Market Cap Fund",France,PA,EUR,ETF,CH0454664027
AEXK,"Amundi Index Solutions - Amundi MSCI Europe Ex UK UCITS ETF DR - EUR (C)",France,PA,EUR,ETF,FR0010988642
AF,"Air France-KLM SA",France,PA,EUR,"Common Stock",FR0000031122
AFIN,"Amundi Index Solutions - Amundi EURO Corporate Financials IBOXX UCITS ETF-C",France,PA,EUR,ETF,LU1681040066
AFLE,"Amundi Index Solutions - Amundi ETF Floating Rate USD Corporate",France,PA,EUR,ETF,LU1681041031
AFLT,"Amundi Index Solutions - Amundi ETF Floating Rate USD Corporate",France,PA,USD,ETF,LU1681040900
AFRN,"Amundi Index Solutions - Amundi Floating Rate EURO Corporate 1-3 UCITS ETF-C",France,PA,EUR,ETF,LU1681041114
AGEB,"Amundi Index Solutions - Amundi Global Emerging Bond Markit IBOXX UCITS ETF-C",France,PA,USD,ETF,LU1681041205
AHYE,"Amundi Index Solutions - Amundi EURO High Yield Liquid Bond IBOXX UCITS ETF-C",France,PA,EUR,ETF,LU1681040496
AI,"L'Air Liquide S.A",France,PA,EUR,"Common Stock",FR0000120073
AIR,"Airbus SE",France,PA,EUR,"Common Stock",NL0000235190
AKA,"AKKA Technologies SE",France,PA,EUR,"Common Stock",FR0004180537
AKE,"Arkema S.A",France,PA,EUR,"Common Stock",FR0010313833
AKOM,"Aerkomm Inc",France,PA,EUR,"Common Stock",
AKW,AKWEL,France,PA,EUR,"Common Stock",FR0000053027
ALACT,"Groupe Actiplay SA",France,PA,EUR,"Common Stock",FR0011038348
ALADA,"ADA Société Anonyme",France,PA,EUR,"Common Stock",FR0000053076
ALADM,"ADThink Media Société Anonyme",France,PA,EUR,"Common Stock",FR0010457531
ALADO,"Adomos S.A",France,PA,EUR,"Common Stock",FR0013247244
ALAGP,"Agripower France SA",France,PA,EUR,"Common Stock",
ALAGR,"AgroGeneration SA",France,PA,EUR,"Common Stock",FR0010641449
ALALO,"Acheter-Louer.Fr SA",France,PA,EUR,"Common Stock",FR0010493510
ALAMG,"Auplata Mining Group",France,PA,EUR,"Common Stock",
ALANT,"Antevenio, S.A",France,PA,EUR,"Common Stock",ES0109429037
ALANV,"Anevia Société Anonyme",France,PA,EUR,"Common Stock",FR0011910652
ALAQU,"Aquila SA",France,PA,EUR,"Common Stock",FR0010340711
ALARF,"Adeunis Société anonyme",France,PA,EUR,"Common Stock",FR0013284627
ALAT,"Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C EUR",France,PA,EUR,ETF,FR0011020973
ALATF,"Artefact SA",France,PA,EUR,"Common Stock",FR0000079683
ALAU,"Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C USD",France,PA,USD,ETF,FR0011018324
ALAVY,"AudioValley SA",France,PA,EUR,"Common Stock",BE0974334667
ALBDM,"BD Multimedia SA",France,PA,EUR,"Common Stock",FR0000035305
ALBFR,"Sidetrade SA",France,PA,EUR,"Common Stock",FR0010202606
ALBI,"Gascogne SA",France,PA,EUR,"Common Stock",FR0000124414
ALBIO,"Biosynex SA",France,PA,EUR,"Common Stock",FR0011005933
ALBIZ,"Obiz Concept SAS",France,PA,EUR,"Common Stock",
ALBKK,"Baikowski SA",France,PA,EUR,"Common Stock",FR0013384369
ALBLD,"Bilendi SA",France,PA,EUR,"Common Stock",FR0004174233
ALBLU,"Bluelinea Société Anonyme",France,PA,EUR,"Common Stock",FR0011041011
ALBPS,"Biophytis SA",France,PA,EUR,"Common Stock",FR0012816825
ALBUD,"MINT Société anonyme",France,PA,EUR,"Common Stock",FR0004172450
ALCAR,"Carmat SA",France,PA,EUR,"Common Stock",FR0010907956
ALCES,"Cesar SA",France,PA,EUR,"Common Stock",FR0013297165
ALCG,"Cabasse Group",France,PA,EUR,"Common Stock",
ALCHI,"Alchimie S.A.S",France,PA,EUR,"Common Stock",
ALCJ,"Crossject Société Anonyme",France,PA,EUR,"Common Stock",FR0011716265
ALCLA,"Clasquin SA",France,PA,EUR,"Common Stock",FR0004152882
ALCLS,"Cellectis S.A",France,PA,EUR,"Common Stock",FR0010425595
ALCOF,"Cofidur S.A",France,PA,EUR,"Common Stock",FR0013257409
ALCOG,"Cogra 48 Société Anonyme",France,PA,EUR,"Common Stock",FR0011071570
ALCOI,"Coil S.A./N.V",France,PA,EUR,"Common Stock",BE0160342011
ALCOR,"Biocorp Production",France,PA,EUR,"Common Stock",FR0012788065
ALCRB,"Carbios SAS",France,PA,EUR,"Common Stock",FR0011648716
ALCUR,"Arcure S.A",France,PA,EUR,"Common Stock",FR0013398997
ALCYB,"Cybergun S.A",France,PA,EUR,"Common Stock",FR0013505583
