ISIN;Currency;Exchange;ETF Underlying Index Ticker;Dvd Freq;Code;Type;Name;GICS Sector;GICS Ind Name;Name
IE00BKP5L409;EUR;NA;LUMSTRUU;None;IMBE;ETP;ISHARES US MBS EUR-HA;#N/A N/A;#N/A N/A;ISH US MBS €HA
FR0010411884;EUR;FP;CACDSH;None;BX4;ETP;LYXOR CAC40 DX2SHRT;#N/A N/A;#N/A N/A;LYX CAC40 DDS
FR0010592014;EUR;FP;CACGL;Annual;LVC;ETP;LYXOR CAC 40 DAILY 2X LEV;#N/A N/A;#N/A N/A;LYX CAC40 D 2X L
IE00B0M62Y33;EUR;NA;AEXNR;Quarter;IAEX;ETP;ISHARES AEX;#N/A N/A;#N/A N/A;ISHARES AEX
IE00B4L5Y983;USD;LN;NDDUWI;None;IWDA;ETP;ISHARES CORE MSCI WORLD;#N/A N/A;#N/A N/A;ISH CORE MSCI WD
NL0009272749;EUR;NA;AEX;Quarter;TDT;ETP;VANECK AEX UCITS ETF;#N/A N/A;#N/A N/A;VANECK AEX UCITS
IE00B3XXRP09;GBP;LN;SPTR500N;Quarter;VUSA;ETP;VANG S&P500 USDD;#N/A N/A;#N/A N/A;VANG S&P500 $DIS
IE00B3RBWM25;GBP;LN;TAWNT01U;Quarter;VWRL;ETP;VANG FTSE AW USDD;#N/A N/A;#N/A N/A;VANG FTSE AL $D
FR0010342592;EUR;FP;XNDXNNRL;Irreg;LQQ;ETP;LYXOR NASDAQ 100 DALY LEV;#N/A N/A;#N/A N/A;LYX NASQ100 DLEV
IE00BKWQ0G16;EUR;FP;NE731540;None;STZ;ETP;SPDR EUROPE FINANCIALS;#N/A N/A;#N/A N/A;SPDR EUR FINCLS
IE00B53SZB19;USD;LN;XNDXNNR;None;CNDX;ETP;ISHARES NASDAQ 100 USD ACC;#N/A N/A;#N/A N/A;ISH NASDAQ100 $A
NL0009690221;EUR;NA;TGLOEI;Quarter;TGET;ETP;VANECK GLOBAL EQ WT ETF;#N/A N/A;#N/A N/A;VANECK GLB EQ WT
FR0007052782;EUR;FP;CACR;Semi-Anl;CAC;ETP;LYXOR CAC 40;#N/A N/A;#N/A N/A;LYX CAC 40
IE00B14X4S71;USD;LN;IDCOT14;Semi-Anl;IDBT;ETP;ISHARES USD TRSRY 1-3Y USD D;#N/A N/A;#N/A N/A;ISH $TRS 1-3Y $D
LU1327051279;EUR;IM;SPXT2IUT;None;SPX2S;ETP;LYXOR DDS S&P500;#N/A N/A;#N/A N/A;LYX DDS S&P500
IE0031442068;USD;LN;SPTR500N;Quarter;IDUS;ETP;ISHARES CORE S&P 500;#N/A N/A;#N/A N/A;ISHR CORE S&P500
JE00B1VS3770;EUR;IM;GOLDLNPM;None;PHAU;ETP;WISDOMTREE PHYSICAL GOLD;#N/A N/A;#N/A N/A;WT PHYSICAL GOLD
IE00B0M62Q58;GBp;LN;NDDUWI;Quarter;IWRD;ETP;ISHARES MSCI WORLD;#N/A N/A;#N/A N/A;ISHR MSCI WORLD
IE00B1YZSC51;EUR;NA;MSDEE15N;Quarter;IMEU;ETP;ISHARES CORE MSCI EUROPE;#N/A N/A;#N/A N/A;ISH CORE MSCI ER
LU1681043599;EUR;FP;MSDEWIN;None;CW8;ETP;AMUNDI MSCI WORLD UCITS-EUR;#N/A N/A;#N/A N/A;AMUNDI MSCI W-€
LU0252634307;EUR;GY;D1AJ;None;LYXLEDAX;ETP;LYX ETF DAILY LEV DAX;#N/A N/A;#N/A N/A;LYXETF D-LEVDAX
GB00B0CTWC01;EUR;NA;#N/A Field Not Applicable;#N/A N/A;OILB;ETP;ETFS BRENT 1MTH OIL SECR-EUR;#N/A N/A;#N/A N/A;ETFS BRENT 1MTH
IE00BYTRRD19;USD;LN;NU731552;None;WTEC;ETP;SPDR WORLD TECHNOLOGY;#N/A N/A;#N/A N/A;SPDR WORLD TECH
IE00B7LGZ558;EUR;LN;LTFRTREU;Semi-Anl;IFRB;ETP;ISHARES FRANCE GOVT BND;#N/A N/A;#N/A N/A;ISHR FRANCE GOV
IE00B5BMR087;USD;LN;SPTR500N;None;CSPX;ETP;ISHARES CORE S&P 500;#N/A N/A;#N/A N/A;ISHR CORE S&P500
LU1681046931;EUR;FP;NCAC;Annual;C40;ETP;AMUNDI CAC 40 UCITS ETF;#N/A N/A;#N/A N/A;AMUNDI ETF CAC 4
IE0008471009;EUR;GY;SX5T;Quarter;EUN2;ETP;ISHARES CORE EURO STOXX 50;#N/A N/A;#N/A N/A;ISH CORE STX50
