Code;Name;Country;Exchange;Currency;Type
500;Amundi Index Solutions - Amundi S&P 500 UCITS ETF C EUR;France;PA;EUR;ETF
BX4;Lyxor CAC 40 Daily (-2x) Inverse UCITS ETF Acc;France;PA;EUR;ETF
C4S;Amundi ETF Short CAC 40 Daily UCITS ETF;France;PA;EUR;ETF
CAC;Lyxor CAC 40 (DR) UCITS ETF Dist;France;PA;EUR;ETF
CACC;Lyxor CAC 40 (DR) UCITS ETF Acc;France;PA;EUR;ETF
E40;BNP Paribas Easy CAC 40 UCITS ETF;France;PA;EUR;ETF
AIR;Airbus SE;France;PA;EUR;Common Stock
ATE;Alten S.A;France;PA;EUR;Common Stock
ABNB;Airbnb Inc;USA;US;USD;Common Stock
NFLX;Netflix Inc;USA;US;USD;Common Stock
GOOG;Alphabet Inc;USA;US;USD;Common Stock
TSLA;Tesla Inc;USA;US;USD;Common Stock
MSFT;Microsoft Corporation;USA;US;USD;Common Stock
GS;The Goldman Sachs Group Inc;USA;US;USD;Common Stock
